[CONFIG] Loading keys from: C:\Tradingview\Tradingview recreation\phase1\services\..\keys.env
2026-02-26 23:25:44 [info     ] application_startup
2026-02-26 23:25:44 [info     ] database_initialized
2026-02-26 23:25:44 [info     ] autopilot_db_initialized
2026-02-26 23:25:44 [info     ] using_alpaca_live_data
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534952 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534953 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534954 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534956 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534958 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534960 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534961 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534965 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534966 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534967 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534968 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534969 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534970 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534971 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534973 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534974 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534975 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534976 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534978 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534979 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534980 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534981 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534982 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534983 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534985 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534986 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534988 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534989 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534990 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534991 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534992 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534993 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534996 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534997 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534998 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534999 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535001 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535003 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535004 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535005 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535006 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535007 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535008 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535009 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535010 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535011 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535012 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535013 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535015 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535016 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535017 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535018 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535020 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535023 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535024 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535025 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535027 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535028 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535029 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535030 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535032 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535033 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535034 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535035 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535036 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535037 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535039 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535040 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535041 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535042 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535045 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535047 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535048 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535052 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535053 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535054 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535055 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535058 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29535060 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535061 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535062 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535064 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535067 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535068 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535072 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535073 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535075 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535076 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535078 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535079 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535085 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535086 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535088 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535092 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535093 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535095 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535096 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535097 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535100 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535102 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535103 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535104 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535105 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535106 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535109 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535110 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535111 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535113 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535114 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535115 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535116 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535119 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535120 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535121 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535122 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535123 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535124 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535125 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535126 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535127 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535129 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535130 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535132 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535133 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535134 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535135 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535137 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535138 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535139 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535140 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535141 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535142 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535143 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535144 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535145 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535146 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535147 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535148 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535149 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535150 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535151 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535152 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535153 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535154 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535155 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535157 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535160 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535161 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535162 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535163 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535164 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535165 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535166 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535167 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535168 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535169 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535171 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535172 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535173 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535174 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535176 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535177 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535178 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535179 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535180 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535181 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535182 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535183 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535184 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535185 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535186 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535187 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535188 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535189 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535190 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535191 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535192 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535193 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535194 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535195 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535196 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535197 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535198 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535199 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535200 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535201 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535202 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535203 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535204 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535205 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535206 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535207 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535208 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535209 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535210 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535211 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535212 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535213 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535214 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535215 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535216 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535217 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535218 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535219 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535220 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535221 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535222 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535223 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535224 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535225 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535226 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535227 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535228 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535229 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535230 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535231 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535232 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:45 [debug    ] bar_saved                      bar_index=29535233 component=bar_repository symbol=AAPL timeframe=1m
